project_number,project_link,hpa_number,location,property,description,review_type,recommendation,meeting_link,previous_review,cfa_action,submitted_documents,owner,,superseded_by
OG 25-012,/records-research/project-search/og-25-012,HPA 25-013,"3029 Dent Place, NW
United States",Residence,Rear aluminum-clad wood casement window and screen replacement,Permit,"No objection to issuance of permit for installation of new window at first floor of the rear elevation, per materials received 18 October 2024.   Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-013,/records-research/project-search/og-25-013,HPA 25-014,"3048 N Street, NW
United States",Residential,Replace two patio doors on rear elevation,Permit,"No objection to issuance of permit for installation of new window at first floor of the rear elevation, per materials received __ November 2024.   Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-015,/records-research/project-search/og-25-015,HPA 25-016,"3122 N Street, NW
United States",Residence,Rooftop solar panels,Concept,"No objection to concept design for rooftop solar panels, per suppplemental materials received __ November 2024 and mock-up conducted on 30 October 2024, PROVIDED the panels and mounting equipment are not visible from public space. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-016,/records-research/project-search/og-25-016,HPA 25-017,"3216 O Street, NW
United States",Commercial,Signage - Tilley's,Concept,"No objection to concept design for Tilley's signage, per supplemental materials received __ November 2024, PROVIDED the paw print, dog, and cat graphics are not included. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-019,/records-research/project-search/og-25-019,HPA 25-020,"3335 Reservoir Road, NW
United States",Residence,Installation of rooftop solar panels,Permit,"No objection to issuance of permit for rooftop solar, per supplemental materials received 28 October 2024 and mock-up conducted 27 August 2024.   Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,"('/records-research/project-search/og-24-333-0', 'OG 24-333')",,,,,
OG 25-020,/records-research/project-search/og-25-020,HPA 25-021,"3000 M Street, NW
United States",Commercial,Construction of a six-story mixed-use building,Permit,"No objection to issuance of permit for the construction of a six-story plus occupiable penthouse, mixed-use building, per supplemental materials received __ November 2024, PROVIDED a materials mock-up is constructed onsite for approval by the Old Georgetown Board prior to construction.   Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,"('/records-research/project-search/og-24-191-3', 'OG 24-191')",,,,,
OG 25-021,/records-research/project-search/og-25-021,HPA 25-022,"1029 31st Street, NW
United States",Commercial,Add new shutters,Permit,"No objection to issuance of permit to add wood shutters to the windows on the front elevation, per supplemental materials received __ November 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-025,/records-research/project-search/og-25-025,HPA 25-026,"1312 30th Street, NW
United States",Residential,"Demo and reconfigure entry stairs, walls, and planters at side yard; install new gate",Revised permit,"No objection to revisions to permit to demolish and reconfigure the existing side yard entrance stairs and site wall, and to install a new fence and gate, per supplemental materials received 25 October 2024, which indicate that the entry stairs would be reduced in width from 10'-1.5"" to 8'-8"" and a raised bluestone curb would be used to edge the planted area at the motor court. Revised permit submission otherwise conforms with the previously approved design (OG 24-126).  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,"('/records-research/project-search/og-24-126-0', 'OG 24-126')",,,,,
OG 25-030,/records-research/project-search/og-25-030,HPA 25-031,"2819 P Street, NW
United States",Residential,Front stone stoop repair and replacement,Concept,"No objection to concept design for repair and replacement of existing stone stoop with similar stone PROVIDED that the existing stone is repaired to the greatest extent possible; the replacement stone is similar to the type and color of the existing stone; and the existing railing is reinstalled. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-032,/records-research/project-search/og-25-032,HPA HPA 25-033,"3017 O Street, NW
United States",Residence,"Replace stair treads, risers, land and railing and install window railings",Permit,"No objection to issuance of permit to replace stair treads, risers, land and railing and install window railings, per supplemental materials received 25 October 2024.   Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,"('/records-research/project-search/og-24-356-0', 'OG 24-356')",,,,,
OG 25-034,/records-research/project-search/og-25-034,HPA 25-035,"3306 O Street, NW
United States",Residence,Shutter and door replacements,Permit,"No objection to issuance of permit for in-kind replacement of the two side doors on the north facade and all shutters and hinges on the north and south facades, per materials received 18 October 2024, PROVIDED the existing door and shutter hardware is reused where possible.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 25-036,/records-research/project-search/og-25-036,HPA 25-037,"3321 Q Street, NW
United States",Residence,Egress window well on west elevation,Permit,"No objection to issuance of permit for a window well and associated window opening below grade in the side yard, per supplemental materials received 1 November 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,"('/records-research/project-search/og-24-254-0', 'OG 24-254')",,,,,
OG 25-038,/records-research/project-search/og-25-038,HPA 25-042,"1023 - 1029 31st Street, NW
United States",Commercial,Signage,Permit,"No objection to issuance of permit for a halo-illuminated sign reading, ""Canal House"" in gold-colored, cast aluminum, eight-inch tall letters that are pin-mounted to the existing entry awning and matching non-illuminated address numbers, per materials received 18 October 2024, PROVIDED signs are mounted through the mortar joints and not the brick.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
TBD,/records-research/project-search/tbd-23,HPA TBD,"C&O Canal at the West Heating Plant
United States",Public right of way,New pedestrian bridge,Concept,"No objection to concept design for a new pedestrian bridge to be located at the meeting point of the Chesapeake & Ohio Canal National Historical Park and the Rock Creek and Potomac Parkway, and adjacent to the former West Heating Plant, per supplemental materials received 24 October 2024, PROVIDED that the trail intersection at the north end of the bridge is addressed in the next submission, and with the understanding that the larger wayfinding program and other trail intersections will be addressed in future phases of work.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45542,,,,,,
OG 24-299,/records-research/project-search/og-24-299-0,HPA 24-387,"1066 Wisconsin Avenue, NW
United States",Commercial,Rooftop mechanical and screening and signage - Brasero &Floreria Atlantico,Concept,"No objection to concept design for rooftop mechanical equipment and screening, awnings, and signage per supplementa materials received 24 September 2024, PROVIDED the screening is a dark anodized bronze color. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,,,,,,
OG 24-306,/records-research/project-search/og-24-306,HPA 24-394,"1512 Wisconsin Avenue, NW
United States",Commercial,Rooftop solar panels,Permit,"No objection to issuance of permit for rooftop solar panels, per supplemental materials received __ September 2024 and onsite mock-up conducted on 23 September 2024, PROVIDED the panels are not visible from public way and the conduit on the rear elevation is painted to match the adjacent wall surface and the panels are mounted parallel to the roof surface.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,,,,,,
OG 24-310,/records-research/project-search/og-24-310,HPA 24-398,"1623 35th Street, NW
United States",Residence,Rooftop solar panels,Permit,"No objection to installation of rooftop solar panels, per supplemental materials received __ October 2024 and onsite mock-up conducted on 18 September 2024, PROVIDED the new conduit is placed along the northern rear corner of the house and the easternmost row of panels are installed parallel to the roof, and no rooftop solar equipment is visible from public way.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,,,,,,
OG 24-321,/records-research/project-search/og-24-321,HPA 24-409,"3218 M Street, NW
United States",Commercial,Signage - Arc'teryx,Permit,"No objection to issuance of permit for installation of new signage for Arc'teryx, per supplemental materials received 3 September 2024, PROVIDED any facade penetrations are driven through the mortar and any raceways, conduits, or junction boxes are not visible. Materials indicate the individual sign letters are 12"" tall and would be painted black on their faces and returns to be opaque.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,,,,,,
OG 24-343,/records-research/project-search/og-24-343,HPA 24-444,"1031 31st Street, NW
United States",Commercial,Modifications to existing row house for hotel use,Permit,"No objection to issuance of permit for modifications to existing row house for hotel use, per supplemental materials received 25 September 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,"('/records-research/project-search/og-24-298-0', 'OG 24-298')",,,,,
OG 24-344,/records-research/project-search/og-24-344,HPA 24-445,"1316 30th Street, NW
United States",Residence,Install temporary stair lift,Permit,"No objection to issuance of permit for installation of a stair lift at the secondary entrance to the property, per materials received 12 September 2024, which indicate that the bricks and existing iron gate to be removed will be retained and stored for future reinstallation.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,"('/records-research/project-search/og-24-289-0', 'OG 24-289')",,,,,
OG 24-345,/records-research/project-search/og-24-345,HPA 24-446,"1365 Wisconsin Avenue
United States",Commercial,Retroactive removal of ATM and depository and installation of two windows,Permit,"No objection to issuance of permit for retroactive removal of ATM and depository and installation of two windows, per supplemental materials received 20 September 2024, PROVIDED windows are fixed. Note: Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,,,,,,
OG 24-346,/records-research/project-search/og-24-346,HPA 24-447,"1524 29th Street, NW
United States",Residence,"New automated gates at driveway, landscaping, and fence repair",Permit,"No objection to issuance of permit for motorized vehicular louvered wood gate at existing driveway on the south side of the house and the relocation of a hoop and spear metal fence to the southern border of the front yard, per supplemental materials received __ October 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,"('/records-research/project-search/og-24-284-0', 'OG 24-284')",,,,,
OG 24-350,/records-research/project-search/og-24-350,HPA 24-451,"2701 Dumbarton Street, NW
United States",Residence,"New rear bay, repair/replace siding and windows, fenestration alterations, site work",Permit,"No objection to issuance of permit for building and site alterations, per supplemental materials received 27 September 2024. Scope of work includes new projecting bay at the rear; relocation of main entrance to the side; repair/replacement of siding and windows; fenestration alterations; and site work. Permit submission is largely consistent with the previously approved concept submission and associated provisions (OG 24-127) and separate permit application for a new fence and vehicular gate (OG 24-276).  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,"('/records-research/project-search/og-24-127-0', 'OG 24-127')",,,,,
OG 24-351,/records-research/project-search/og-24-351,HPA 24-452,"2714 Dumbarton Street, NW
United States",Institution,"New elevator, exterior door, and changes to front steps",Permit,"No objection to issuance of permit to reface front steps, relocate and modify the width of the existing vehicular gate, relocate one stained glass window from the west elevation of the existing tower to the front elevation in order to construct a new door opening to accommodate a new elevator, per supplemental drawings received 25 September 2024, PROVIDED the applicant submit a sample of the proposed stair material for review by the Old Georgetown Board prior to construction.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,"('/records-research/project-search/og-24-277-0', 'OG 24-277')",,,,,
OG 24-353,/records-research/project-search/og-24-353,HPA 24-454,"2809 O Street, NW
United States",Residence,"Replace metal roof, flashing, gutters, and downspouts and add skylights",Permit,"No objection to issuance of permit to replace metal roof, flashing, gutters, and downspouts and add skylights, per supplemental materials received 20 September 2024, PROVIDED standing seam metal roof is replaced with the same design as the existing and has hand-crimped seams. Note: Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,,,,,,
OG 24-366,/records-research/project-search/og-24-366,HPA 24-467,"3334 P Street, NW
United States",Residence,Window and door replacement; repointing,Permit,"No objection to issuance of permit to restore the historic windows on front and side elevations, replace the existing vinyl basement windows on the front elevation with single-glazed wood replacements, and replace the previously replaced windows on the rear elevation with two-over-two wood windows per supplemental materials received ___ October 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,,,,,,
OG 24-367,/records-research/project-search/og-24-367,HPA 24-468,"3340 Cady's Alley, NW
United States",Commercial,Revision to previously approved permit for alterations to entrance and signage - Onare,Revised permit,"No objection to issuance of revised permit to replace previously approved wood slat veneer in the entry vestibule with a metal cladding, per supplemental materials received __ October 2024, which indicate no further changes to signage or lighting.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,"('/records-research/project-search/og-24-334-0', 'OG 24-334')",,,,,
OG 24-370,/records-research/project-search/og-24-370,HPA 24-471,"3068 Q Street, NW
United States",Residence,Stoop repair/replacement,Permit,"No objection to issuance of permit for repair of existing brick stoop and iron railings with new brick and flagstone treads, per supplemental materials received 17 September 2024, PROVIDED that photographic documentation of any demolition is performed, and if intact iron treads and risers are found during demolition, they will be rehabilitated to the greatest extent possible, and that the existing historic iron railing is reused to the greatest extent possible.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45541,"('/records-research/project-search/og-24-209-2', 'OG 24-209')",,,,,
OG 24-209,/records-research/project-search/og-24-209-1,HPA 24-259,"3068 Q Street, NW
United States",Residence,Stoop repair/replacement,Concept,"No objection to concept design for repair of existing brick stoop and iron railings with new brick and flagstone treads, per supplemental materials received 15 August 2024, PROVIDED that photographic documentation of any demolition is performed, and if intact iron treads and risers are found during demolition, they will be rehabilitated to the greatest extent possible, and that the existing historic iron railing is reused to the greatest extent possible. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,"('/records-research/project-search/og-24-209-0', 'OG 24-209')",,,,,
OG 24-233,/records-research/project-search/og-24-233-0,HPA 24-298,"1511 30th Street, NW
United States",Residence,Solar panels and alterations to previously approved rear addition,Permit,"The Commission regrets that the skylight was constructed without review. No objection to issuance of permit for rooftop solar panels and skylight, per supplemental materials received 15 August 2024 and mock-up conducted on 22 July 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-294,/records-research/project-search/og-24-294-0,HPA 24-371,"3259 O Street, NW
United States",Residence,Addition and renovation; alterations to roof line,Concept,"No objection to concept design for partial demolition of the rear ell to increase the height and renovate the interior, per supplemental materials received 16 August 2024. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-297,/records-research/project-search/og-24-297,HPA 24-385,"1029 31st Street, NW
United States",Commercial,"Alterations, site work",Permit,"No objection to issuance of permit for building and site alterations, per materials received 15 August 2024, which conforms with the previously approved concept submission (OG 24-263). Scope of work includes replacement of existing windows with TDL wood windows at the front and SDL wood windows at the rear; replacement of front door; rebuilding of the rear building wall and construction of a new stair; stabilization and retention of chimney stack; and partial infill of previously excavated rear yard and construction of a new landscape and 7’-4” site wall.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,"('/records-research/project-search/og-24-263-0', 'OG 24-263')",,,,,
OG 24-298,/records-research/project-search/og-24-298,HPA 24-386,"1031 31st Street, NW
United States",Commercial,Modifications to existing row house for hotel use,Concept,"No objection to concept design for modifications to existing row house for hotel use, per materials received 15 August 2024, PROVIDED a plan for paint removal and masonry cleaning/repointing and design of the new rear yard fence are documented. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-300,/records-research/project-search/og-24-300,HPA 24-388,"1258 Wisconsin Avenue, NW
United States",Mixed-use,Convert storefront window to recessed entry door,Permit,"No objection to issuance of permit to replace the southermost storefront window with a metal access door set in a recessed entry, per supplemental materials received __ September 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,"('/records-research/project-search/og-24-271-0', 'OG 24-271')",,,,,
OG 24-301,/records-research/project-search/og-24-301,HPA 24-389,"1344 Wisconsin Avenue, NW
United States",Commercial,"Signage, retroactive approval - M.M. Lafleur",Permit,"The Commission regrets that the signage was installed without OGB review or approval. No objection to issuance of permit for new painted sign for M.M. Lafleur, per supplemental materials received 19 September 2024, which indicate that the repainted signs will measure 12"" in height.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-302,/records-research/project-search/og-24-302,HPA 24-390,"1365 Wisconsin Avenue, NW
United States",Commercial,Signage - It's a Secret Med-Spa,Concept,"No objection to concept design for new signage and awning for It's a Secret Med-Spa, per supplemental materials received 29 August 2024, which indicate that all facade penetrations will be driven through the mortar. Scope of work includes two unlit painted acrylic signs on the two principal facades, and a new fabric awning above the business entrance. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-304,/records-research/project-search/og-24-304,HPA 24-392,"1423 36th Street, NW
United States",Residence,Construction of accessory structure in rear yard,Concept,"No objection to concept design for construction of a new rear accessory structure, per materials received 15 August 2024, PROVIDED further study of the fenestration is considered and the proposed color palette and roof details are documented. Materials indicate the new shed/studio would be 16’-2” tall and be faced with vertically oriented 2x6 nickel-gap siding of black locust or a similarly dense hardwood. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-305,/records-research/project-search/og-24-305,HPA 24-393,"1506 Wisconsin Avenue, NW
United States",Commercial,Signage - Framebridge,Permit,"No objection to issuance of permit for white vinyl decal on existing first floor window reading, FRAMEBRIDGE in 5 1/2"" tall letters, per supplemental materials received 26 August 2024, PROVIDED the two metal sign brackets are removed from the front elevation and the masonry patched.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-308,/records-research/project-search/og-24-308,HPA 24-396,"1532 32nd Street, NW
United States",Residence,Replacement of rear window,Permit,"No objection to issuance of permit for installation of new window at the second floor of the rear facade, per materials received 15 August 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-309,/records-research/project-search/og-24-309,HPA 24-397,"1605 35th Street, NW
United States",Residence,Exterior repairs,Permit,"No objection to issuance of permit for in-kind exterior repairs at the front roof, eave, and gutter, per materials received 15 August 2024. This application supersedes the previously approved permit application (OG 24-088).  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-312,/records-research/project-search/og-24-312,HPA 24-400,"1645 31st Street, NW
United States",Residence,Fence replacement,Permit,"No objection to issuance of permit for a 7-foot cedar fence on the north and east side of the property, per supplemental materials received _ September 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-313,/records-research/project-search/og-24-313,HPA 24-401,"1665 34th Street, NW
United States",Residence,Replacement shutters,Permit,"No objection to issuance of permit for wood shutters on the front elevation, per supplemental materials received 23 August 2024.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
OG 24-314,/records-research/project-search/og-24-314,HPA 24-402,"1665 Wisconsin Avenue, NW
United States",Commercial,Signage and new light sconce - Hunter & Huntress,Concept,"No objection to concept design for installation of new signage for Hunter & Huntress, per supplemental materials received __ September 2024, which include a 12”x12” decal on the door, a new light sconce, and a blade sign. File permit submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/consent-calendar/45540,,,,,,
