project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 24-172,/records-research/project-search/og-24-172,HPA 24-210,"1525 Wisconsin Avenue, NW
United States",Commercial,Signage for Jinya,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45536,"Returned without action.  Permit application for signage for Jinya was withdrawn at the written request of the applicant on 21 March 2024.  Note that initial submission does not meet the OGB sign guidelines and is incompatible with the historic district.
",,,,,,,
OG 24-190,/records-research/project-search/og-24-190,HPA 24-230,"1410 Wisconsin Avenue, NW
United States",Commercial,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45536,"Returned without action. Submitted documentation is not sufficient for review. File new concept submission with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 24-070,/records-research/project-search/og-24-070-0,HPA 24-076,"1659 Wisconsin Avenue, NW
United States",Commercial,Temporary enclosure at front,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45535,"Returned without action.  Concept application for enclosure at front has been inactive for an extended period of time and may be inappropriate for the historic district.
",,,,,,,
OG 24-098,/records-research/project-search/og-24-098,HPA 24-117,"1536 32nd Street, NW
United States",Residence,Solar panels,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45535,"Returned without action.  Permit application for installation of solar panels on roof was withdrawn at the written request of the applicant on 27 February 2024.
",,,,,,,
OG 24-156,/records-research/project-search/og-24-156,HPA 24-185,"1511 30th Street, NW
United States",Residence,Site work at rear,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45535,"Returned without action.  Concept application and drawings received 16 February 2024 indicate that the scope of work will not be visible from the public way.  Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-351,/records-research/project-search/og-23-351-0,HPA 23-558,"1363 Wisconsin Avenue, NW
United States",Residential,Construct four-story addition at rear,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45534,"Returned without action. Concept application was not supported by the Old Georgetown Board and has been inactive for an extended period of time. File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 24-100,/records-research/project-search/og-24-100,HPA 24-119,"3401 N Street, NW
United States",Residence,Enclose existing sunken patio,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/45534,"Returned without action.  Permit application and supplemental materials received on 19 January 2024 indicate that enclosure of existing sunken patio at rear is not visible from the public right-of-way.  Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-344,/records-research/project-search/og-23-344,HPA 23-551,"3622 Prospect Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44390,"Returned without action. Permit application for window replacement was withdrawn at the written request of the applicant on 9 November 2023.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",,,,,,,
OG 24-053,/records-research/project-search/og-24-053,HPA 24-059,"3123 N Street, NW
United States",Residence,Replace concrete steps at front with granite,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44390,"Returned without action. Permit application is a duplicate of OG 23-261 and was therefore withdrawn at the written request of the applicant on 20 November 2023.  Note:  Any subsequent modifications to the approved design, including those made during DOB technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",,,,,,,
OG 24-078,/records-research/project-search/og-24-078,HPA 24-084,"1423 33rd Street, NW
United States",Residence,"Window and door alteration and replacement, interior alterations",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44390,"Returned without action.  Submission materials received 21 November 2023 and a site visit indicate proposed alterations at rear would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-239,/records-research/project-search/og-23-239,HPA 23-388,"3223 M Street, NW
United States",Commercial,Signage for Mejuri,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44389,Returned without action. Permit application for new signage has been inactive for an extended period of time. File new permit submission at DOB with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 23-266,/records-research/project-search/og-23-266,HPA 23-415,"3251 Prospect Street, NW
United States",Mixed-use,New signage and signage plan,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44389,"Returned without action.  Concept application was superseded by new concept application, OG 24-014, HPA 24-026.
",,,,,,,
OG 24-017,/records-research/project-search/og-24-017,HPA 24-029,"1236 27th Street, NW
United States",Residential,"New areaway, stair, and door at rear cellar",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44389,"Returned without action. The proposed new areaway, stair, and door at rear cellar are not visible from public way, per materials received 13 October 2023 and site visit on 17 October 2023. Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-233,/records-research/project-search/og-23-233-0,HPA 23-382,"1363 Wisconsin Avenue, NW
United States",Residential,Construct four-story addition at rear,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44388,"Returned without action. Concept application superseded by concept application OG 23-351 / HPA 23-558.
",,,,,,,
OG 23-087,/records-research/project-search/og-23-087-1,HPA 23-150,"1408 28th Street, NW
United States",Residence,Addition and alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44387,"Returned without action. Concept application for rear addition was withdrawn at the written request of the applicant on 24 August 2023.
",,,,,,,
OG 23-283,/records-research/project-search/og-23-283,HPA 23-459,"3222 M Street, NW
United States",Commercial,Halo-lit sign - Vuori,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44387,"Returned without action. Permit application for 16-inch wall sign was withdrawn at the written request of the applicant on 1 September 2023.
",,,,,,,
OG 23-287,/records-research/project-search/og-23-287,HPA 23-463,"2516 Mill Road, NW
United States",Residence,"New pre-fab plastic shed, metal screens at rear terrace - existing alterations without review",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44387,"Returned without action.  Permit application, which is a duplicate of OG 23-247, HPA 23-396, was withdrawn at the written request of the applicant on 21 August 2023.
",,,,,,,
OG 23-290,/records-research/project-search/og-23-290,HPA 23-466,"3343 Reservoir Road, NW
United States",Residence,Replace flat roof,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44387,"Returned without action. Permit application for roof replacement was withdrawn at the written request of the applicant on 23 August 2023.
",,,,,,,
OG 23-293,/records-research/project-search/og-23-293,HPA 23-469,"1523 34th Street, NW
United States",Residence,Siding replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44387,"Returned without action. Permit application for siding replacement was withdrawn at the written request of the applicant on 29 August 2023.
",,,,,,,
OG 22-214,/records-research/project-search/og-22-214-0,HPA 22-387,"1819 35th Street, NW
United States",Hardy Middle School,New rooftop antennas for T-Mobile,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44386,"Returned without action.  Concept application for rooftop antennas has been inactive for an extended period of time.  File new concept submission at DOB with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 23-115,/records-research/project-search/og-23-115,HPA 23-189,"1015 31st Street, NW
United States",Commercial,Sign for Georgetown Smoke Shop,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44386,"Returned without action.  Submitted materials are not sufficient for review, and concept application has been inactive for an extended period of time. File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 23-234,/records-research/project-search/og-23-234,HPA 23-383,"1079 Wisconsin Avenue, NW
United States",Commercial,Wall sign - Pacers Running,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44386,"Returned without action. Permit application received 16 June 2023 for a wall sign reading, Pacers Running, is a duplicate scope of work as submitted under OG 23-235 / HPA 23-384.
",,,,,,,
OG 23-246,/records-research/project-search/og-23-246,HPA 23-395,"3401 N Street, NW
United States",Residence,Enclose existing sunken patio,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44386,"Returned without action.  Concept application received on 16 June 2023 for enclosure of existing sunken patio at rear is not visible from the public right-of-way, per site visit conducted by OGB staff on 20 June 2023.  Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-271,/records-research/project-search/og-23-271,HPA 23-420,"3236 Prospect Street, NW
United States",Commercial,Signage for District Tobacco & Cigars,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44386,"Returned without action.  Concept application is a duplicate and was withdrawn at the written request of the applicant.  See OG 23-165, HPA 23 266 for reviewed application.
",,,,,,,
OG 23-126,/records-research/project-search/og-23-126,HPA 23-200,"1508 Dumbarton Rock Court, NW
United States",Residence,Window replacement,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44385,"Returned without action. Concept submission for window replacement has been inactive for an extended period of time. File new concept submission at DOB with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 23-052,/records-research/project-search/og-23-052-0,HPA 23-080,"1025 Thomas Jefferson Street, NW
United States",Commercial,"Convert two windows to doors, relocation of storefront at courtyard",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44384,"Returned without action.  Concept application has been inactive for an extended period of time.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 23-120,/records-research/project-search/og-23-120-0,HPA 23-194,"2900 - 2922 M Street, 1132 29th Street, NW
United States",Commercial,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44384,"Returned without action.  Concept application for alterations withdrawn by the written request of the applicant.  New concept application for alterations and new development submitted for review (OG 23-199, HPA 23-309).
",,,,,,,
OG 22-243,/records-research/project-search/og-22-243-0,HPA 22-416,"3251 Prospect Street, NW
United States",Multi-family residence,Replace windows on 17 condo units,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44383,"Returned without action. Concept application for window replacement has been inactive for an extended period of time. File new concept application with detailed and dimensioned drawings at DOB for review by the Commission.
",,,,,,,
OG 23-036,/records-research/project-search/og-23-036-0,HPA 23-064,"1669 - 1671 Wisconsin Avenue, NW
United States",Commercial,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44383,"Returned without action. Concept application for an addition was withdrawn at the written request of the applicant on 28 March 2023.
",,,,,,,
OG 23-152,/records-research/project-search/og-23-152,HPA 23-249,"3700 O Street, NW
United States",Georgetown University,Antenna replacement for AT&T at Leavey Center,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44383,"Returned without action.  Submission materials and a site visit on 21 March 2023 indicate that existing and proposed antennas on tower at Leavey Center would not be visible from a public thoroughfare.  Refer to the Historic Preservation Review Board.
",,,,,,,
OG 23-172,/records-research/project-search/og-23-172,HPA 23-272,"2735 Olive Street, NW
United States",Residence,Replace door on rear elevation,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44383,"Returned without action. Supplemental materials received 29 March 2023 and a site visit on 30 March 2023 indicate the proposed door and transom replacement on the ground floor of the east elevation would not be not be visible from public thoroughfare. Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-173,/records-research/project-search/og-23-173,HPA 23-274,"1222 28th Street, NW
United States",Residence,Replace sliding door on rear elevation,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44383,"Returned without action. Proposed sliding door replacement on the first floor of the rear elevation would not be visible from public thoroughfare, per supplemental materials received 24 March 2024. Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-179,/records-research/project-search/og-23-179,HPA 23-280,"1632 32nd Street, NW
United States",Residence,Replace fence,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44383,"Returned without action. Proposed fencing in side yard is not visible from public thoroughfare, per materials received 17 March 2023. Refer to Historic Preservation Board.
",,,,,,,
OG 22-286,/records-research/project-search/og-22-286,HPA 22-483,"3601 M Street, NW
United States",Commercial,New Construction,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44382,"Returned without action.  Concept application for new building has been inactive for an extended period of time.  File new concept submission at DOB with detailed and dimensioned drawings.
",,,,,,,
OG 23-035,/records-research/project-search/og-23-035-0,HPA 23-063,"3237 M Street, NW
United States",Commercial,"Storefront alterations, new sign reading ""Away""",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44382,"Returned without action.  Concept application superseded by permit application OG 23-109, HPA 23-183
",,,,,,,
OG 23-114,/records-research/project-search/og-23-114,HPA 23-188,"2501 Q Street, NW
United States",Multi-family residence,Rooftop solar panels,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44382,"Returned without action. Concept application was withdrawn at the written request of the applicant on 13 February 2023.
",,,,,,,
OG 23-124,/records-research/project-search/og-23-124,HPA 23-198,"2715 Pennsylvania Avenue, NW
United States",Commercial,Fence alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44382,"Returned without action.  Permit application for fence alterations was withdrawn at the written request of the applicant.  Application is duplicate of OG 23-095, HPA 23-157.
",,,,,,,
OG 23-132,/records-research/project-search/og-23-132,HPA 23-206,"1544 33rd Street, NW
United States",Residence,Lower basement floor slab and new exterior egress stair,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44382,"Returned without action. Proposed underpinning, new rear areaway and railing, and relocation of HVAC unit, per supplemental drawings received 13 February 2023 is not visible from public way. Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-061,/records-research/project-search/og-23-061,HPA HPA 23-124,"1301 Wisconsin Avenue, NW and 3145 N Street, NW
United States",Commercial,"Rooftop mechanical, signage, and outdoor seating - Dig",Revised permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44381,"Returned without action. Permit application was withdrawn at the written request of the applicant on 27 January 2023.
",,,,,,,
OG 23-068,/records-research/project-search/og-23-068,HPA 23-131,"1073 Wisconsin Avenue, NW
United States",Commercial,Roof replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44381,"Returned without action.  Application withdrawn by the applicant on 13 January 2023.
",,,,,,,
OG 23-081,/records-research/project-search/og-23-081,HPA 23-144,"3615 Prospect Street, NW
United States",Georgetown University,"Roof, siding, and window replacement, stucco removal",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44381,"Returned without action.  Concept application is a duplicate of OG 23-044, HPA 23-072.
",,,,,,,
OG 23-099,/records-research/project-search/og-23-099,HPA 23-162,"3321 and 3323 Q Street, NW
United States",Residence,Subdivision to construct pool in rear yard,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/44381,"Returned without action. The proposed in-ground swimming pool is not visible from public way, per supplemental materials received 25 January 2023. The Commission notes this site may contain archaeological resources. Refer to Historic Preservation Review Board.
",,,,,,,
OG 22-237,/records-research/project-search/og-22-237-1,HPA 22-410,"3101 P Street, NW
United States",Residence,Replace existing roof deck railing,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43342,"Returned without action.  Concept application for replacement of railing at roof deck was withdrawn at the written request of the applicant on 16 November 2022.
",,,,,,,
OG 23-039,/records-research/project-search/og-23-039,HPA 23-067,"3401 K (Water) Street, NW
United States",Commercial,Site work,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43342,"Returned without action. Permit application for site work was included under application OG 23-083 / HPA 23-066.
",,,,,,,
OG 23-002,/records-research/project-search/og-23-002,HPA 23-006,"3251 Prospect Street, NW
United States",Multi-family residence,Replace windows on 17 condo units,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43341,"Returned without action. Concept submission received 14 October 2022 is a duplicate of concept application OG 22-243 / HPA 22-416and was withdrawn at the written request of the applicant on 24 October 2022.
",,,,,,,
OG 23-004,/records-research/project-search/og-23-004,HPA 23-008,"3264 N Street, NW
United States",Residence,Roof replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43341,"Returned without action.  Submission materials and a site visit on 18 October 2022 indicate proposed roof replacement would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.
",,,,,,,
OG 23-021,/records-research/project-search/og-23-021,HPA 23-027,"3327 N Street, NW
United States",Residence,Addition and alterations to house and garage,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43341,"Returned without action. Concept submission received 14 October 2022 is a duplicate of OG 22-259 / HPA 22-432 and was withdrawn at the written request of the applicant on 18 October 2022.
",,,,,,,
OG 22-127,/records-research/project-search/og-22-127-0,HPA 22-220,"1669-1671 Wisconsin Avenue, NW
United States",Commercial,Rear addition ,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43340,"Returned without action. Concept application was withdrawn at the written request of the applicant on 30 September 2022.
",,,,,,,
OG 22-271,/records-research/project-search/og-22-271,HPA 22-468,"1528 29th Street, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43340,"Returned without action. Per materials received 16 September 2022, proposed rear addition is not visible from public space. Refer to Historic Preservation Review Board.
",,,,,,,
OG 22-277,/records-research/project-search/og-22-277,HPA 22-474,"3328 Volta Place, NW
United States",Residence,Rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43340,"Returned without action.  The duplicate concept application was withdrawn at the written request of the applicant on 26 September 2022.
",,,,,,,
OG 22-072,/records-research/project-search/og-22-072,HPA 22-125,"2823 N Street, NW
United States",Residence,"Porch woodwork restoration, door replacement",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  Permit application for restoration of porch woodwork and replacement of doors has been inactive for an extended period of time.  Proposed scope of work must be reviewed by the Old Georgetown Board; file new permit submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-102,/records-research/project-search/og-22-102,HPA 22-195,"2609 P Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action. Permit application for window replacement has been inactive for an extended period of time. File new permit application with detailed and dimensioned drawings at DCRA for review by the Commission.
",,,,,,,
OG 22-107,/records-research/project-search/og-22-107-0,HPA 22-200,"2909 Q Street, NW
United States",Residence,Window replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  Permit application for inappropriate window replacement has been inactive for an extended period of time.  Proposed scope of work must be reviewed by the Old Georgetown Board; file new permit submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-112,/records-research/project-search/og-22-112-0,HPA 22-205,"3128 M Street, NW
United States",Commercial,"Signage for Buck Mason, alterations",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  Permit application for inappropriate reinstallation of large signband has been inactive for an extended period of time.  Proposed scope of work must be reviewed by the Old Georgetown Board; file new permit submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
