project_number,project_link,hpa_number,location,property,description,review_type,recommendation,meeting_link,previous_review,cfa_action
OG 24-239,/records-research/project-search/og-24-239,HPA 24-304,"1825 Wisconsin Avenue, NW
United States",Commercial,"Signage for Perfect Eyebrows, awning, additional lighting",Permit,"Recommend AGAINST issuance of permit for proposed signage and awning.  Submitted materials are insufficient for review.  File new submission at DOB with accurate detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45538,,
OG 24-083,/records-research/project-search/og-24-083,HPA 24-101,"3624 Winfield Lane, NW
United States",Residence,Solar Panels,Permit,"Recommend AGAINST issuance of permit for installation of solar panels on roof, per supplemental materials received 12 January 2024 due to exposed equipment on front elevation.  See concept application OG 24-131, HPA 24-268 for approved layout and equipment location.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45537,,
OG 23-165,/records-research/project-search/og-23-165,HPA 23-266,"3236 Prospect Street, NW
United States",Commercial,Signage for District Tobacco & Cigars,Concept,"Recommend AGAINST concept design for proposed District Tobacco & Cigars signage.  Submitted documentation is insufficient for review, the proposal is incompatible with the historic district, and the application has been inactive for an extended period.  File new concept submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45536,,
OG 23-338,/records-research/project-search/og-23-338-0,HPA 23-545,"1625 31st Street, NW
United States",Residence,Window replacement,Permit,"Recommend AGAINST issuance of permit for window replacement.  Submitted documentation is insufficient for review, the proposal is incompatible with the historic district, and the application has been inactive for an extended period.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45536,,
OG 24-142,/records-research/project-search/og-24-142,HPA 24-167,"3045 P Street, NW
United States",Residence,Roof replacement,Permit,"Recommend AGAINST issuance of permit for replacement of existing natural slate roof with a synthetic slate product as proposed. Work proposed in this permit application was observed to be underway during a 21 February 2024 site visit, and the matter was referred to the D.C. Historic Preservation Office.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45535,,
OG 24-104,/records-research/project-search/og-24-104,HPA 24-123,"1422 Wisconsin Avenue, NW
United States",Commercial,Alteration of front door - existing alterations without review,Permit,"Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review, and proposed work is inappropriate in the historic district.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/45534,,
OG 23-268,/records-research/project-search/og-23-268,HPA 23-417,"1612 28th Street, NW
United States",Residence,Window and door replacement,Permit,Recommend AGAINST issuance of permit. Permit application for window and door replacement has been inactive for an extended period of time and may not be appropriate for the historic district. File new permit submission at DOB with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44389,,
OG 23-033,/records-research/project-search/og-23-033,HPA 23-061,"2801 M Street, NW
United States",Commercial,"New fabric awnings, signage for Kabul Castle Kabob",Concept,"Recommend AGAINST concept design for fabric awnings and signage for Kabul Castle Kabob.  Submitted documentation is not sufficient for review.  Property is in violation, including illegal signs, inappropriate windows at second floor, inappropriate stair on side of main block of building, vinyl handrails, and incompatible work at the northernmost opening on 28th Street that does not match approved drawings.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44388,,
OG 23-155,/records-research/project-search/og-23-155-0,HPA 23-254,"2737 O Street, NW
United States",Residence,"Replace entrance stairs, door, light fixture, and new deck",Permit,"Recommend AGAINST issuance of permit. Proposed alterations to door surround, deck, and light fixtures are incompatible with the historic district and documentation is incomplete, per supplemental materials received 25 May 2023. File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44388,,
OG 23-286,/records-research/project-search/og-23-286,HPA 23-462,"1204 31st Street, NW
United States",Mixed-use,Replace existing exterior metal stair on east elevation,Permit,"Recommend AGAINST issuance of permit.  Submitted materials are insufficient for review.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44388,,
OG 23-326,/records-research/project-search/og-23-326,HPA 23-533,"3265 Prospect Street, NW
United States",Commercial,Painted sign for La Bonne Vache Bistro,Permit,"Recommend AGAINST issuance of permit.  Proposed painted sign and two gooseneck light fixtures is inappropriate in the historic district.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44388,,
OG 23-343,/records-research/project-search/og-23-343,HPA 23-550,"3116 O Street, NW
United States",Institution,"Interior renovation, new elevator door at grade, window replacement",Permit,"Recommend AGAINST issuance of permit. Permit application for alterations has been inactive for an extended period of time and may be incompatible with the historic district. File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44388,,
OG 23-180,/records-research/project-search/og-23-180,HPA 23-281,"1625 31st Street, NW
United States",Residence,Window and door replacement,Permit,"Recommend AGAINST issuance of permit for window and door replacement. Submitted materials are not sufficient for review. File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44387,,
OG 23-295,/records-research/project-search/og-23-295,HPA 23-471,"1734 Wisconsin Avenue, NW
United States",Commercial,Awning - Shanghai Lounge,Permit,"Recommend AGAINST issuance of permit. The Commission regrets that alterations were made without review. The submitted materials are not sufficient for review and awning and signage may be inappropriate for the historic district. File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44387,,
OG 23-323,/records-research/project-search/og-23-323,HPA 23-499,"1529 Wisconsin Avenue, NW
United States",Commercial,Window replacement - existing alterations without review,Permit,"Recommend AGAINST issuance of permit.  The Commission regrets that windows were replaced without review or approval.  Submitted materials are not sufficient for review, and new windows may not be appropriate for the historic district.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44387,,
OG 23-006,/records-research/project-search/og-23-006-0,HPA 23-010,"1678 32nd Street, NW
United States",Residence,Replace windows,Permit,"Recommend AGAINST approval for replacement windows, per supplemental materials received 18 January 2023, as the proposed replacements are incompatible with the historic district and the application has been inactive for an extended period of time. File new permit submission at DOB with detailed and dimensioned drawings that comply with the Old Georgetown Board Design Guidelines for Windows for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44386,,
OG 23-112,/records-research/project-search/og-23-112,HPA 23-186,"1658 29th Street, NW
United States",Residence,Fenestration alterations,Permit,"Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review, and proposed work may be inappropriate in the historic district.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44386,,
OG 23-204,/records-research/project-search/og-23-204,HPA 23-314,"1516 26th Street, NW
United States",Residence,Rooftop solar panels,Permit,"Recommend AGAINST issuance of permit for rooftop solar panels, per materials received 14 April 2023, due to the fact that the application has been inactive for an extended period of time and the documentation submitted is insufficient for review.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44386,,
OG 22-264,/records-research/project-search/og-22-264-0,HPA 22-461,"1624 Wisconsin Avenue, NW
United States",Commercial,New blade sign - Article 15 Gallery,Concept,"Recommend AGAINST concept design for a blade sign, per supplemental materials received 26 September 2022. Application has been inactive for an extended period of time. File new concept submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44385,,
OG 23-210,/records-research/project-search/og-23-210,HPA 23-332,"2726 O Street, NW
United States",Residence,Replacement of fence and trash enclosure,Permit,"Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44385,,
OG 23-050,/records-research/project-search/og-23-050,HPA 23-078,"3343 Dent Place, NW
United States",Residence,Window replacement,Permit,"Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review, and scope of work may be inappropriate for the historic district.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44384,,
OG 23-146,/records-research/project-search/og-23-146,HPA 23-243,"2726 O Street, NW
United States",Residence,Replacement of fence and trash enclosure,Permit,"Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44383,,
OG 23-156,/records-research/project-search/og-23-156,HPA 23-256,"2801 M Street, NW
United States",Commercial,Signage for Master Tailors Georgetown - Existing alteration without review,Permit,"Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44383,,
OG 23-113,/records-research/project-search/og-23-113,HPA 23-187,"1037 33rd Street, NW
United States",Commercial,Signage for StudioLab,Permit,"Recommend AGAINST issuance of permit for signage.  Permit application for signage has been inactive for an extended period of time, and submitted materials are not sufficient for review.  Sign already installed without review or approval.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44382,,
OG 22-262,/records-research/project-search/og-22-262,HPA 22-459,"1267 Wisconsin Avenue, NW
United States",Commercial,Signage for Foxtrot,Permit,"Recommend AGAINST issuance of permit.  Sign proposal for Foxtrot is not appropriate in the historic district, and the application has been inactive for an extended period of time.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/44381,,
OG 22-117,/records-research/project-search/og-22-117-0,HPA 22-210,"3315 P Street, NW
United States",Residence,Rear addition and renovation,Concept,"Recommend AGAINST issuance of permit. Concept application for rear addition has been inactive for an extended period of time and proposed scale and massing is incompatible with historic district. File new concept submission at DOB for review by the Commission with detailed and dimensioned drawings.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43342,,
OG 22-193,/records-research/project-search/og-22-193-0,HPA 22-342,"3328 O Street, NW
United States",Residence,Replace siding on east elevation,Permit,"Recommend AGAINST issuance of permit. Permit application for siding replacement has been inactive for an extended period of time and submitted materials are insufficient for review. File new permit application at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43342,,
OG 22-217,/records-research/project-search/og-22-217,HPA 22-390,"1037 33rd Street, NW
United States",Commercial,Signage for StudioLab,Permit,"Recommend AGAINST issuance of permit for signage.  Permit application for signage has been inactive for an extended period of time, and submitted materials are not sufficient for review.  Sign already installed without review or approval, and proposed work is inappropriate for historic district.  File new submission at DOB with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43342,,
OG 22-192,/records-research/project-search/og-22-192,HPA 22-341,"1663 32nd Street, NW
United States",Residence,Window replacement,Permit,"Recommend AGAINST approval.  Permit application has been inactive and cannot be reviewed or approved due to insufficient information.  Proposed replacement windows are inappropriate for the historic district.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43340,,
OG 21-136,/records-research/project-search/og-21-136,HPA 21-245,"3134 Dumbarton Street, NW
United States",Single-family residence,"Window, door, gutter replacement and new rear addition",Permit,"Recommend AGAINST issuance of permit for alterations. The Commission regrets that work commenced without permit. The alterations made without review are incompatible with the historic district and the submitted documentation insufficient for review.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43338,,
OG 22-005,/records-research/project-search/og-22-005,HPA 22-015,"1027 31st Street, NW
United States",Commercial,"Sign for ""Beirut Nights""",Permit,"Recommend AGAINST issuance of permit for sign reading ""Beirut Nights.""  Proposed sign does not meet OGB sign guidelines, the documentation is insufficient, and the property has several outstanding violations, including an illegal structure at the rear that was not reviewed by the OGB.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43337,,
OG 22-006,/records-research/project-search/og-22-006,HPA 22-016,"1025 31st Street, NW
United States",Commercial,"Sign for ""Beirut Nights""",Permit,"Recommend AGAINST issuance of permit for sign reading ""Beirut Nights.""  Proposed sign does not meet OGB sign guidelines, the documentation is insufficient, and the property has several outstanding violations, including inappropriate windows at the front and an illegal structure at the rear, neither of which were reviewed by OGB.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43337,,
OG 22-160,/records-research/project-search/og-22-160,HPA 22-291,"3210 Grace Street, NW
United States",Residence,Door replacement,Permit,"Recommend AGAINST issuance of permit due to insufficient information.  File permit submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43337,,
OG 22-130,/records-research/project-search/og-22-130,HPA 22-223,"3019 Cambridge Place, NW
United States",Residence,Window replacement,Permit,"Recommend AGAINST issuance of permit for installation of double-glazed, aluminum windows, which were regrettably installed without a permit, per materials received 18 March 2022. File new submission at DCRA with detailed and dimensioned drawings for replacement windows that comply with the Old Georgetown Board's Window Policy for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43336,,
OG 22-123,/records-research/project-search/og-22-123,HPA 22-216,"2817 Dumbarton Street, NW
United States",Residence,Window and garage door replacement,Permit,"Recommend AGAINST issuance of permit for alterations due to insufficient information. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/43335,,
OG 22-021,/records-research/project-search/og-22-021,HPA 22-049,"1654 Avon Place, NW
United States",Residence,Solar panels,Permit,Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/42124,,
OG 22-023,/records-research/project-search/og-22-023,HPA 22-051,"3249 M Street, NW
United States",Commercial,"Sign reading ""Havana Tobacco""",Concept,Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/42124,,
OG 21-239,/records-research/project-search/og-21-239-0,HPA 21-440,"2714 P Street, NW
United States",Residence,Solar panels,Permit,"Recommend AGAINST issuance of permit for installation of solar panels.  Submitted documentation is not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings, including coordinating information about panel height, photos of roof and property, and correct placement of parapet walls, for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/42120,,
OG 21-150,/records-research/project-search/og-21-150,HPA 21-289,"3028 N Street, NW
United States",Residence,Window and door replacement,Permit,Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/42112,,
OG 21-151,/records-research/project-search/og-21-151,HPA 21-290,"1232 27th Street, NW
United States",Residence,Window and door replacement,Permit,Recommend AGAINST issuance of permit.  Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/42112,,
OG 21-100,/records-research/project-search/og-21-100,HPA 21-194,"2919 M Street, NW
United States",Commercial,Roof replacement,Permit,Recommend AGAINST issuance of permit.  Submitted documentation is not sufficient for review.  File new application with DCRA for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/42108,,
OG 20-222,/records-research/project-search/og-20-222,HPA 20-409,"3033 Dent Place, NW
United States",Residence,Metal stair repair and replacement,Permit,Recommend AGAINST issuance of permit for repair and replacement of metal stair.  Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/41034,,
OG 20-172,/records-research/project-search/og-20-172,HPA 20-303,"1653 34th Street, NW
United States",Residence,Rear addition,Permit,Recommend AGAINST issuance of permit for rear addition due to insufficient information.  File complete submission at DCRA with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/41030,,
OG 20-124,/records-research/project-search/og-20-124-0,HPA 20-218,"1225 37th Street, NW
United States",Residence,New fence and trash enclosure in public right-of-way; siding replacement,Permit,"Recommend AGAINST issuance of permit for replacement siding, trash enclosures, and fence, due to insufficient information on proposed siding replacement as requested at the 2 April 2020 review by the Old Georgetown Board.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/41028,,
OG 20-127,/records-research/project-search/og-20-127,HPA 20-227,"1080 Wisconsin Avenue, NW
United States",Commercial,Roof deck replacement and repair,Permit,Recommend AGAINST issuance of permit due to insufficient information. File complete submission at DCRA with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/41026,,
OG 20-087,/records-research/project-search/og-20-087,HPA 20-154,"3209 O Street, NW
United States",Commercial,Third floor addition and alterations,Concept,"Recommend AGAINST approval of concept design for a second and third floor addition with alterations to the storefront, per drawings received 17 January 2020.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/41022,,"('/records-research/project-search/og-20-087-0', 'OG 20-087')"
OG 19-273,/records-research/project-search/og-19-273,HPA 19-544,"3520 Reservoir Road, NW
United States",Residence,Window replacement,Concept,"Recommend AGAINST issuance of permit due to insufficient information, noting that vinyl-clad replacement windows are incompatible with the historic district. Applicant should file a new submission at DCRA with detailed and dimensioned window specifications for review by the Commission. ",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30351,,
OG 19-276,/records-research/project-search/og-19-276,HPA 19-276,"3326 N Street, NW
United States",Residence,Rear window replacement,Permit,"Recommend AGAINST issuance of permit due to insufficient information, noting that vinyl-clad replacement windows are incompatible with the historic district. Applicant should file a new submission at DCRA with detailed and dimensioned window specifications for review by the Commission. ",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30351,,
OG 19-162,/records-research/project-search/og-19-162,HPA 19-334,"2915 M Street, NW
United States",Commercial,Replace commercial roof vent,Permit,"Recommend AGAINST issuance of permit for replacement rooftop vent, due to insufficient documentation in the submission, received 17 May 2019. Applicant should file new submission at DCRA with detailed and dimensioned drawings, including a roof plan, for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30343,,
OG 19-128,/records-research/project-search/og-19-128,HPA 19-256,"1677 Wisconsin Avenue, NW
United States",Commercial,Window replacement,Permit,"Recommend AGAINST issuance of permit for fiberglass replacement windows, per submission received 12 April 2019. As submitted, the proposed replacement windows are incompatible with the historic district. Applicant should file new submission at DCRA with detailed and dimensioned window specifications for review by the Commission. ",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30341,,
OG 19-130,/records-research/project-search/og-19-130,HPA 19-260,"3209 O Street, NW
United States",Commercial,Replace front windows and enlarge window openings on west elevation,Permit,"Recommend AGAINST issuance of permit for replacement windows, per submission received 12 April 2019. As submitted, proposed replacement windows are incompatible with the historic district and are not direct replacements of the previously existing windows. Applicant should file a concept application at DCRA with detailed and dimensioned drawings and window specifications for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30341,,
OG 19-137,/records-research/project-search/og-19-137,HPA 19-281,"3600 M Street, NW
United States",Commercial,Waterproofing,Permit,Recommend AGAINST approval due to insufficient information.  File new application at DCRA with detailed and dimensioned drawings for review by the Commission.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30341,,
OG 19-098,/records-research/project-search/og-19-098,HPA 19-203,"2920 M Street, NW
United States",Commercial,"Sign for ""Georgetown Social""",Permit,"Recommend AGAINST approval due to insufficient information and incompatible proposed location of sign for ""Georgetown Social.""  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30339,,
OG 19-110,/records-research/project-search/og-19-110,HPA 19-238,"2934 M Street, NW
United States",Commercial,Alterations to rear patio and new awning cover - existing alterations without review,Concept,"Recommend AGAINST after-the-fact approval of alterations to patio, awning, signage, and lighting, per drawings received 15 March 2019. Applicant to file a new concept application at DCRA with detailed and dimensioned drawings for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30339,,
OG 19-051,/records-research/project-search/og-19-051,HPA 19-111,"1015 Paper Mill Court, NW
United States",Residence,Skylights,Revised permit,"Recommend AGAINST issuance of permit for revision of skylight design, which includes installation of one skylight at roof slope facing public thoroughfare, per drawings received 7 December 2018.  Due to its visibility, the skylight would not be compatible with the character of the historic district.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30335,,
OG 19-074,/records-research/project-search/og-19-074,HPA 19-163,"3326 Prospect Street, NW
United States",Residence,Window replacement,Permit,"Recommend AGAINST issuance of permit for replacement windows, per drawings submitted 28 January 2019 due to insufficient documentation. As submitted, the proposed window replacements are incompatible with the historic district. Applicant should file concept application at DCRA with detailed and dimensioned drawings for review by the Commission.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/30335,,
OG 19-032,/records-research/project-search/og-19-032,HPA 19-080,"1408 Wisconsin Avenue, NW
United States",Commercial,Storefront alterations,Permit,"Recommend AGAINST issuance of permit for demolition of existing storefront, which is contributing historic fabric, to be replaced by new storefront contrary to Old Georgetown Board’s concept approval of Option C, dated 23 April 2018, provided by the applicant (OG 18-120, HPA 18-225); recommend AGAINST new windows facing 29½”-wide covered side yard passage and replacement of existing street-facing single-glazed wood windows with new insulated double-hung windows.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/28927,"('/records-research/project-search/og-18-294-0', 'OG 18-294')",
OG 18-292,/records-research/project-search/og-18-292,HPA 18-551,"1073 Wisconsin Avenue, NW
United States",Mixed-use,Demolish and rebuild existing brick wall,Permit,"Recommend AGAINST issuance of permit for demolition of brick wall at alley, which is the north elevation wall of the building.  According to the submitted drawings, the wall would be rebuilt with new bricks.  The Old Georgetown Board recommends reusing the existing brick and matching the existing mortar through mortar analysis.  The applicant received a building permit in March when a DCRA employee signed off for both the Historic Preservation Office and the Commission of Fine Arts without notifying either agency.
",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/28921,,
OG 18-238,/records-research/project-search/og-18-238,HPA 18-425,"3279 M Street, NW
United States",Commercial,"Signage - ""Sugar Lab""",Permit,"Recommend AGAINST issuance of permit for signage reading ""Sugar Lab.""  Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings.",/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/28919,,
OG 18-149,/records-research/project-search/og-18-149,HPA 18-281,"1737 Wisconsin Avenue, NW
United States",Commercial,Recovering awnings,Permit,Recommend AGAINST issuance of permit for recovering awnings.  Proposed awnings are not compatible with Georgetown Historic District.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/28913,,
OG 18-076,/records-research/project-search/og-18-076,HPA 18-143,"3232 Prospect Street, NW
United States",Residence,Roof replacement,Permit,Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/28909,,
OG 18-077,/records-research/project-search/og-18-077,HPA 18-146,"1608 Wisconsin Avenue, NW
United States",Commercial,"Sign - ""OKI Bowl""",Permit,Submitted materials are not sufficient for review.  File new submission at DCRA with detailed and dimensioned drawings.,/records-research/record-cfa-actions/old-georgetown-board/denial-calendar/28909,,
