0,1,2,3,4,5,6
OG 24-260 (HPA 24-324),"Residence, 3324 Reservoir Road, NW.   Addition, fenestration alterations, new garage. Concept.",,,,,[]
OG 24-259 (HPA 24-324),"Residence, 3306 R Street, NW.   Addition. Concept.",/records-research/project-search/og-24-259-1,OG 24-259,,,[]
OG 24-240 (HPA 24-305),"Residence, 2728 O Street, NW.   Rear addition. Concept.",,,,,[]
OG 24-151 (HPA 24-179),"Commercial, 1220 - 1236 31st Street, NW.   Fenestration alterations, signage. Concept.",/records-research/project-search/og-24-151-2,OG 24-151,,,[]
OG 24-196 (HPA 24-246),"Residence, 3336 P Street, NW.   Window, door, and roof replacement. Concept.",,,,,[]
OG 24-209 (HPA 24-259),"Residence, 3068 Q Street, NW.   Stoop repair/replacement. Concept.",,,,,[]
OG 24-232 (HPA 24-297),"Residence, 3419 Reservoir Road, NW.   Relocate electric meter to front facade. Concept.",,,,,[]
TBD (HPA TBD),"Institution - C&O Canal, Lock 4 Between 31st Street, NW and Thomas Jefferson Street, NW.   Temporary dry dock. Permit.",,,,,[]
TBD (HPA TBD),"Institution - Jelleff Recreation Center, 3265 S Street, NW.   Demolition of existing structure and construction of new two-story recreation building. Concept.",,,,,[]
OG 24-163 (HPA 24-192),"Mixed-use, 1805 Wisconsin Avenue, NW.   Demolition of existing building; construction of nine row houses with ground floor retail. Concept.",/records-research/project-search/og-24-163-2,OG 24-163,,,[]
OG 24-180 (HPA 24-218),"Commercial, 1048 29th Street, NW.   Two-story rooftop addition and renovation. Concept.",/records-research/project-search/og-24-180-1,OG 24-180,,,[]
OG 24-151 (HPA 24-179),"Commercial, 1220 - 1236 31st Street, NW.   Fenestration alterations, signage. Concept.",/records-research/project-search/og-24-151-2,OG 24-151,,,[]
OG 24-175 (HPA 24-213),"Commercial, 1071 - 1075 Thomas Jefferson Street, NW.   Interior renovation, landscaping, and addition. Permit.",/records-research/project-search/og-24-175-1,OG 24-175,,,[]
OG 24-089 (HPA 24-108),"Residence, 3004 R Street, NW.   Rear addition. Permit.",,,,,[]
OG 24-195 (HPA 24-235),"Residence - Evermay, 1623 28th Street, NW.   Construct new pavilion and associated landscape. Permit.",/records-research/project-search/og-24-195-1,OG 24-195,,,[]
OG 24-215 (HPA 24-265),"Residence, 3401 N Street, NW.   Site work. Concept.",/records-research/project-search/og-24-215-0,OG 24-215,,,[]
OG 24-204 (HPA 24-254),"Residence, 2750 Q Street, NW.   Replace brick fence wall, add gas light fixtures, and other landscape changes. Permit.",,,,,[]
OG 24-221 (HPA 24-271),"Residence, 3003-3017 N Street, NW.   Landscape alterations. Permit.",/records-research/project-search/og-24-221-0,OG 24-221,,,[]
OG 24-217 (HPA 24-267),"Residence, 3525 Winfield Lane, NW.   Replacement windows and doors. Permit.",/records-research/project-search/og-24-217-0,OG 24-217,,,[]
OG 24-220 (HPA 24-270),"Residence, 2701 P Street, NW.   Storefront and signage alterations - Housebar. Permit.",,,,,[]
OG 24-216 (HPA 24-266),"Commercial, 3401 K (Water) Street, NW.   Signage - Citizen M. Concept.",/records-research/project-search/og-24-216-0,OG 24-216,,,[]
OG 24-214 (HPA 24-264),"Commercial, 1422 Wisconsin Avenue, NW.   Front door alterations. Permit.",/records-research/project-search/og-24-214-0,OG 24-214,,,[]
OG 23-257 (HPA 23-406),"Commercial/Mixed-use, 1000 Thomas Jefferson Street, NW.   Three-story plus penthouse addition to existing building. Concept.",/records-research/project-search/og-23-257-5,OG 23-257,,,[]
OG 23-258 (HPA 23-407),"Commercial, 1050 Thomas Jefferson Street, NW.   Two-story plus penthouse addition to existing building. Concept.",/records-research/project-search/og-23-258-5,OG 23-258,,,['/system/files/meeting-materials/4-OG%2023-257%268-1000%261050%20TJ%20Street%5B4-12%5D_pres.pdf']
OG 24-191 (HPA 24-231),"Commercial, 3000 M Street, NW.   Construction of a six-story mixed-use building. Permit.",,,,,[]
OG 24-163 (HPA 24-192),"Mixed-use, 1805 Wisconsin Avenue, NW.   Demolition of existing building; construction of nine row houses with ground floor retail. Concept.",/records-research/project-search/og-24-163-2,OG 24-163,,,[]
OG 24-109 (HPA 24-128),"Commercial, 2930 M Street, NW.   Rear three-story addition. Concept.",,,,,[]
OG 24-188 (HPA 24-228),"Commercial, 1025 Thomas Jefferson Street, NW.   Storefront alterations, courtyard alterations, rooftop addition. Concept.",/records-research/project-search/og-24-188-0,OG 24-188,,,[]
OG 24-151 (HPA 24-179),"Commercial, 1220 - 1236 31st Street, NW.   Fenestration alterations, signage. Concept.",/records-research/project-search/og-24-151-2,OG 24-151,,,[]
OG 24-175 (HPA 24-213),"Commercial, 1071 - 1075 Thomas Jefferson Street, NW.   Interior renovation, landscaping, and addition. Permit.",/records-research/project-search/og-24-175-1,OG 24-175,,,[]
OG 24-184 (HPA 24-224),"Commercial, 3071 Canal Street, NW.   Rear addition. Concept.",/records-research/project-search/og-24-184-1,OG 24-184,,,[]
OG 24-193 (HPA 24-233),"Residence, 1318 34th Street, NW.   Addition to existing third floor, new two-story rear addition, and alterations. Concept.",,,,,[]
OG 24-183 (HPA 24-223),"Residence, 1524 33rd Street, NW.   Landscape modifications and new parking lift. Permit.",/records-research/project-search/og-24-183-0,OG 24-183,,,[]
OG 24-186 (HPA 24-226),"Residence, 3315 P Street, NW.   Rear addition and renovation. Concept.",/records-research/project-search/og-24-186-0,OG 24-186,,,[]
OG 24-150 (HPA 24-177),"Residence, 3277 Prospect Street, NW.   Rear addition. Concept.",/records-research/project-search/og-24-150-1,OG 24-150,,,[]
OG 24-179 (HPA OG 24-217),"Residence, 3003-3017 N Street, NW.   Landscape alterations. Concept.",/records-research/project-search/og-24-179-0,OG 24-179,,,[]
OG 24-195 (HPA 24-235),"Residence - Evermay, 1623 28th Street, NW.   Construct new pavilion and associated landscape. Permit.",/records-research/project-search/og-24-195-1,OG 24-195,,,[]
OG 24-176 (HPA 24-214),"Residence, 3628 Winfield Lane, NW.   Solar panels. Permit.",/records-research/project-search/og-24-176-0,OG 24-176,,,[]
OG 24-166 (HPA N/A),"Public space, Curb lane of M Street and Wisconsin Avenue, NW.   Sidewalk extensions and outdoor dining in public space - progress report. Information presentation.",,,,,[]
OG 24-163 (HPA 24-192),"Mixed-use, 1803 Wisconsin Avenue, NW.   Demolition of existing building; construction of nine row houses with ground floor retail. Concept.",/records-research/project-search/og-24-163-2,OG 24-163,,,[]
OG 24-109 (HPA 24-128),"Commercial, 2930 M Street, NW.   Rear three-story addition. Concept.",,,,,[]
OG 24-101 (HPA 24-120),"Commercial, 1029 31st Street, NW.   Addition, alterations in connection with adjacent hotel development. Concept.",,,,,[]
OG 24-086 (HPA 24-104),"Commercial, 3000 K Street, NW.   New outdoor seating area. Concept.",,,,,[]
OG 24-152 (HPA 24-180),"Washington Harbour, 3030 K Street, NW.   Shade structure at rooftop pool. Concept.",/records-research/project-search/og-24-152-0,OG 24-152,,,[]
OG 24-087 (HPA 24-105),"Commercial, 1525 Wisconsin Avenue, NW.   Enclose second-floor deck, relocate mechanical equipment. Permit.",,,,,[]
OG 24-159 (HPA 24-188),"Residence, 3238 and 3232 R Street, NW.   Alterations to Scott-Grant House, site work. Concept.",/records-research/project-search/og-24-159-0,OG 24-159,,,[]
OG 23-352 (HPA 23-559),"Residence, 3238 and 3232 R Street, NW.   Construction of 2 new structures, alteration of historic buildings. Concept.",/records-research/project-search/og-23-352-3,OG 23-352,,,[]
OG 24-145 (HPA 24-171),"Kesher Israel Congregation, 2801 N Street, NW.   Construct three-story addition behind synagogue connecting three buildings. Revised concept.",/records-research/project-search/og-24-145-0,OG 24-145,,,[]
OG 24-150 (HPA 24-177),"Residence, 3277 Prospect Street, NW.   Rear addition. Concept.",/records-research/project-search/og-24-150-1,OG 24-150,,,[]
OG 24-091 (HPA 24-110),"Residence, 3220 O Street, NW.   Window and door replacement, fenestration alterations. Concept.",,,,,[]
OG 24-099 (HPA 24-118),"Residence, 1327 30th Street, NW.   Replacement of windows and trim. Permit.",/records-research/project-search/og-24-099-0,OG 24-099,,,[]
OG 24-084 (HPA 24-102),"Residence, 3023 Dumbarton Street, NW.   Alterations for new parking space at alley; new egress door at front. Permit.",,,,,[]
OG 24-136 (HPA 24-158),"Residence, 3632 Winfield Lane, NW.   Solar panels. Permit.",/records-research/project-search/og-24-136-0,OG 24-136,,,[]
OG 24-135 (HPA 24-154),"Residence, 3664 Winfield Lane, NW.   Solar panels. Permit.",/records-research/project-search/og-24-135-0,OG 24-135,,,[]
OG 23-257 (HPA 23-406),"Commercial/Mixed-use, 1000 Thomas Jefferson Street, NW.   Three-story plus penthouse addition to existing building. Concept.",/records-research/project-search/og-23-257-5,OG 23-257,,,[]
OG 23-258 (HPA 23-407),"Commercial, 1050 Thomas Jefferson Street, NW.   Two-story plus penthouse addition to existing building. Concept.",/records-research/project-search/og-23-258-5,OG 23-258,,,[]
OG 24-109 (HPA 24-128),"Commercial, 2930 M Street, NW.   Rear three-story addition. Concept.",,,,,[]
OG 24-101 (HPA 24-120),"Commercial, 1029 31st Street, NW.   Addition, alterations in connection with adjacent hotel development. Concept.",,,,,[]
OG 23-352 (HPA 23-559),"Residence, 3238 and 3232 R Street, NW.   Demolition, construction of 2 new structures. Concept.",/records-research/project-search/og-23-352-3,OG 23-352,,,[]
OG 24-004 (HPA 24-014),"Residence, 2449 P Street, NW.   Rear addition, new garage. Concept.",,,,,[]
OG 24-105 (HPA 24-124),"Residence, 1505 33rd Street, NW.   Rear addition and exterior alterations. Concept.",,,,,[]
OG 24-089 (HPA 24-108),"Residence, 3004 R Street, NW.   Rear addition. Permit.",,,,,[]
OG 24-110 (HPA 24-129),"Commercial, 2715 Pennsylvania Avenue, NW.   Extension of fencing and shipping container permits for Sandlot. Permit.",/records-research/project-search/og-24-110-0,OG 24-110,,,[]
OG 24-014 (HPA 24-026),"Mixed-use, 3251 Prospect Street, NW.   Signage plan. Concept.",/records-research/project-search/og-24-014-1,OG 24-014,,,[]
OG 24-090 (HPA 24-109),"Residence, 2701 P Street, NW.   Storefront and signage alterations. Concept.",,,,,[]
OG 24-086 (HPA 24-104),"Commercial, 3000 K Street, NW.   New outdoor seating area. Concept.",,,,,[]
OG 24-112 (HPA 24-131),"Washington Harbour, 3030 K Street, NW.   Site work at pool, new shade structure, new lights. Concept.",/records-research/project-search/og-24-112-0,OG 24-112,,,[]
OG 24-061 (HPA 24-067),"Commercial, 1044 Wisconsin Avenue, NW.   Trash enclosure, deck, lighting. Concept.",,,,,[]
OG 24-087 (HPA 24-105),"Commercial, 1525 Wisconsin Avenue, NW.   Enclose second-floor deck, relocate mechanical equipment. Permit.",,,,,[]
OG 24-106 (HPA 24-125),"Residence, 1528 29th Street, NW.   Reconfigure basement stairs, door replacement, site work. Concept.",,,,,[]
OG 24-127 (HPA 24-146),"Residence, 2701 Dumbarton Street, NW.   New rear bay, repair/replace siding and windows, fenestration alterations, site work. Concept.",/records-research/project-search/og-24-127-0,OG 24-127,,,[]
OG 24-091 (HPA 24-110),"Residence, 3220 O Street, NW.   Window and door replacement, fenestration alterations. Concept.",,,,,[]
OG 24-097 (HPA 24-116),"Residence, 1410 26th Street, NW.   Window replacements. Concept.",,,,,[]
OG 24-080 (HPA 24-098),"Residence, 3137 O Street, NW.   Window replacement. Permit.",/records-research/project-search/og-24-080-0,OG 24-080,,,[]
OG 23-341 (HPA 23-548),"K Street below the Whitehurst Freeway Bridge, K Street at 29th Street, NW.   Georgetown Gateway Project. Concept.",/records-research/project-search/og-23-341-1,OG 23-341,,,[]
OG 23-257 (HPA 23-406),"Commercial/Mixed-use, 1000 Thomas Jefferson Street, NW.   Three-story plus penthouse addition to existing building. Concept.",/records-research/project-search/og-23-257-5,OG 23-257,,,[]
OG 23-258 (HPA 23-407),"Commercial, 1050 Thomas Jefferson Street, NW.   Two-story plus penthouse addition to existing building. Concept.",/records-research/project-search/og-23-258-5,OG 23-258,,,[]
OG 24-066 (HPA 24-072),"Commercial, 1073 Wisconsin Avenue, NW (Blues Alley).   Renovations and additions to existing buildings. Concept.",,,,,[]
OG 24-070 (HPA 24-076),"Commercial, 1659 Wisconsin Avenue, NW.   Temporary enclosure at front. Concept.",,,,,[]
OG 23-352 (HPA 23-559),"Residence, 3238 and 3232 R Street, NW.   Demolition, construction of 2 new structures. Concept.",/records-research/project-search/og-23-352-3,OG 23-352,,,[]
OG 24-060 (HPA 24-066),"Dumbarton Oaks, 1703 32nd Street, NW.   New three-level building - Farrand House. Revised concept.",/records-research/project-search/og-24-060-0,OG 24-060,,,[]
OG 23-345 (HPA 23-552),"Residence, 1316 34th Street, NW.   Additions, alterations. Concept.",/records-research/project-search/og-23-345-2,OG 23-345,,,[]
OG 24-026 (HPA 24-038),"Residence, 3311 N Street, NW.   New two-story garage. Concept.",/records-research/project-search/og-24-026-1,OG 24-026,,,[]
OG 24-004 (HPA 24-014),"Residence, 2449 P Street, NW.   Rear addition, new garage. Concept.",,,,,[]
OG 24-073 (HPA 24-079),"Commercial, 3277 M Street, NW.   Facade redesign and alterations. Permit.",,,,,[]
OG 24-059 (HPA 24-065),"Commercial, 3300 M Street, NW.   Storefront alterations, signage for Skims. Concept.",,,,,[]
OG 24-075 (HPA 24-081),"Residence, 3400 P Street, NW.   Garage and terrace alterations. Concept.",/records-research/project-search/og-24-075-0,OG 24-075,,,[]
OG 24-056 (HPA 24-062),"Residence, 3622 Prospect Street, NW.   Replace seven windows at front. Permit.",,,,,[]
OG 24-051 (HPA 24-057),"Residence, 1421 35th Street, NW.   Replace eight windows at front. Permit.",,,,,[]
OG 24-071 (HPA 24-077),"Commercial, 1529 Wisconsin Avenue, NW.   Signs for City Sliders - existing alteration without review. Permit.",,,,,[]
OG 23-348 ,"Public Right of Way, Curb Lane of M Street and Wisconsin Avenue, NW.   Sidewalk extensions in curb lane on M and Wisconsin. Concept.",/records-research/project-search/og-23-348-1,OG 23-348,,,[]
OG 23-349 (HPA 23-556),"Commercial, 2900 - 2922 M Street, 1132 29th Street, NW.   Alterations to historic rowhouses. Permit.",,,,,[]
OG 24-012 (HPA 24-022),"Dumbarton Oaks, 1703 32nd Street, NW.   New three-level building - Farrand House. Permit.",,,,,[]
OG 24-009 (HPA 24-019),"Residence - Evermay, 1623 28th Street, NW.   Construct new pavilion and associated landscape. Concept.",,,,,[]
OG 23-345 (HPA 23-552),"Residence, 1316 34th Street, NW.   Additions, alterations. Concept.",/records-research/project-search/og-23-345-2,OG 23-345,,,[]
OG 24-026 (HPA 24-038),"Residence, 3311 N Street, NW.   New two-story garage. Concept.",/records-research/project-search/og-24-026-1,OG 24-026,,,[]
OG 24-021 (HPA 24-033),"Residence, 3314 Volta Place, NW.   Relocation of approved meters from interior to exterior. Permit.",/records-research/project-search/og-24-021-0,OG 24-021,,,[]
OG 24-023 (HPA 24-035),"Residence, 3314 1/2 Volta Place, NW.   Relocation of approved meters from interior to exterior. Permit.",/records-research/project-search/og-24-023-0,OG 24-023,,,[]
OG 24-027 (HPA 24-039),"Residence, 2812 N Street, NW.   New dormers; new one-story addition; new exterior stairs; window and door replacement; new brick wall. Concept.",,,,,[]
OG 23-350 (HPA 23-557),"Commercial, 1729 Wisconsin Avenue, NW.   Modifications to existing property. Concept.",,,,,[]
OG 24-015 (HPA 24-027),"Commercial, 3057 M Street, NW.   Renovate interior and alterations to front facade. Permit.",,,,,[]
OG 24-006 (HPA 24-016),"Commercial, 1201 Wisconsin Avenue, NW.   Dome rehabilitation. Permit.",,,,,[]
OG 24-014 (HPA 24-026),"Mixed-use, 3251 Prospect Street, NW.   Signage plan. Concept.",/records-research/project-search/og-24-014-1,OG 24-014,,,[]
OG 23-347 (HPA 23-576),"Residence, 3325 R Street, NW.   Full window replacement. Permit.",,,,,[]
OG 23-306 (HPA 23-482),"Residence, 3259 R Street, NW.   In-ground swimming pool. Permit.",,,,,[]
OG 23-330 (HPA 23-537),"Residence, 3216 Reservoir Road, NW.   Construction of shed - existing alterations without review. Permit.",,,,,[]
OG 23-341 (HPA 23-548),"K Street below the Whitehurst Freeway Bridge, K Street at 29th Street, NW.   Georgetown Gateway Project. Concept.",/records-research/project-search/og-23-341-1,OG 23-341,,,[]
OG 23-348 (HPA 23-555),"Public Right of Way, Curb Lane of M Street and Wisconsin Avenue, NW.   Sidewalk extensions in curb lane on M and Wisconsin. Permit.",/records-research/project-search/og-23-348-1,OG 23-348,,,[]
